run_id,episode,train_reward,eval_avg_reward,eval_avg_energy,eval_avg_comfort_violation,epsilon,learning_rate,gamma,epsilon_decay
qlearning_v1,1,-754.2708,,,,0.995,0.1,0.95,0.995
qlearning_v1,2,-889.8268,,,,0.990025,0.1,0.95,0.995
qlearning_v1,3,-693.7577,,,,0.985075,0.1,0.95,0.995
qlearning_v1,4,-846.5467,,,,0.98015,0.1,0.95,0.995
qlearning_v1,5,-672.9756,,,,0.975249,0.1,0.95,0.995
qlearning_v1,6,-718.299,,,,0.970373,0.1,0.95,0.995
qlearning_v1,7,-836.7629,,,,0.965521,0.1,0.95,0.995
qlearning_v1,8,-823.862,,,,0.960693,0.1,0.95,0.995
qlearning_v1,9,-756.8868,,,,0.95589,0.1,0.95,0.995
qlearning_v1,10,-741.3288,,,,0.95111,0.1,0.95,0.995
qlearning_v1,11,-744.5366,,,,0.946355,0.1,0.95,0.995
qlearning_v1,12,-733.0321,,,,0.941623,0.1,0.95,0.995
qlearning_v1,13,-676.98,,,,0.936915,0.1,0.95,0.995
qlearning_v1,14,-699.9215,,,,0.93223,0.1,0.95,0.995
qlearning_v1,15,-703.4298,,,,0.927569,0.1,0.95,0.995
qlearning_v1,16,-890.9578,,,,0.922931,0.1,0.95,0.995
qlearning_v1,17,-820.0936,,,,0.918316,0.1,0.95,0.995
qlearning_v1,18,-832.4442,,,,0.913725,0.1,0.95,0.995
qlearning_v1,19,-668.7591,,,,0.909156,0.1,0.95,0.995
qlearning_v1,20,-732.912,,,,0.90461,0.1,0.95,0.995
qlearning_v1,21,-837.898,,,,0.900087,0.1,0.95,0.995
qlearning_v1,22,-714.5721,,,,0.895587,0.1,0.95,0.995
qlearning_v1,23,-766.104,,,,0.891109,0.1,0.95,0.995
qlearning_v1,24,-842.497,,,,0.886654,0.1,0.95,0.995
qlearning_v1,25,-796.6205,,,,0.88222,0.1,0.95,0.995
qlearning_v1,26,-947.7354,,,,0.877809,0.1,0.95,0.995
qlearning_v1,27,-817.1589,,,,0.87342,0.1,0.95,0.995
qlearning_v1,28,-789.7069,,,,0.869053,0.1,0.95,0.995
qlearning_v1,29,-931.1443,,,,0.864708,0.1,0.95,0.995
qlearning_v1,30,-814.5369,,,,0.860384,0.1,0.95,0.995
qlearning_v1,31,-690.473,,,,0.856082,0.1,0.95,0.995
qlearning_v1,32,-797.427,,,,0.851802,0.1,0.95,0.995
